City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
98,Leningradskiy,RU,2021-11-07 06:37:36,69.3833,178.4167,5.99,79,100,7.34,overcast clouds
99,Evensk,RU,2021-11-07 06:38:32,61.95,159.2333,30.54,86,98,10.56,light snow
100,Dzaoudzi,YT,2021-11-07 06:46:09,-12.7887,45.2699,87.69,62,20,11.5,few clouds
101,Hilo,US,2021-11-07 06:37:48,19.7297,-155.09,74.93,76,90,3.44,light rain
102,Myaundzha,RU,2021-11-07 06:46:09,63.0494,147.1858,4.71,97,100,7.58,snow
103,Kyaukse,MM,2021-11-07 06:46:10,21.6,96.1333,85.32,65,47,6.04,scattered clouds
104,Hasaki,JP,2021-11-07 06:38:08,35.7333,140.8333,64.8,67,100,10.78,overcast clouds
105,Shaki,AZ,2021-11-07 06:46:10,41.0833,47.1667,52.59,58,7,2.91,clear sky
106,Rocha,UY,2021-11-07 06:40:27,-34.4833,-54.3333,47.62,91,15,3.2,few clouds
107,Samarai,PG,2021-11-07 06:46:10,-10.6167,150.6667,84.7,71,6,13.22,clear sky
108,Jacmel,HT,2021-11-07 06:40:35,18.2342,-72.5347,76.84,87,26,3.0,scattered clouds
109,Lebu,CL,2021-11-07 06:37:36,-37.6167,-73.65,50.22,91,57,14.56,broken clouds
110,Ponta Do Sol,PT,2021-11-07 06:39:42,32.6667,-17.1,66.83,55,0,11.01,clear sky
111,Zabaykalsk,RU,2021-11-07 06:46:11,49.6333,117.3167,25.9,34,3,10.2,clear sky
112,Sozopol,BG,2021-11-07 06:46:12,42.4167,27.7,59.34,86,100,7.2,overcast clouds
113,Xining,CN,2021-11-07 06:36:19,36.6167,101.7667,29.05,35,0,4.34,clear sky
114,Beyneu,KZ,2021-11-07 06:38:05,45.3167,55.2,44.46,25,1,9.93,clear sky
115,Katsuura,JP,2021-11-07 06:37:45,35.1333,140.3,70.11,76,100,10.83,light rain
116,Sao Filipe,CV,2021-11-07 06:37:29,14.8961,-24.4956,77.45,73,99,8.66,overcast clouds
117,Zima,RU,2021-11-07 06:46:12,53.9202,102.0442,31.48,76,93,6.22,overcast clouds
118,Corinto,GR,2021-11-07 06:46:13,37.9407,22.9573,68.68,67,100,5.68,overcast clouds
119,Yakeshi,CN,2021-11-07 06:46:13,49.2833,120.7333,24.89,32,2,10.87,clear sky
120,Ketchikan,US,2021-11-07 06:38:30,55.3422,-131.6461,36.07,100,90,0.0,overcast clouds
121,Hue,VN,2021-11-07 06:46:13,16.4667,107.6,86.11,66,20,10.36,few clouds
122,Pa Daet,TH,2021-11-07 06:46:14,19.5049,99.9924,88.09,59,29,1.52,scattered clouds
123,Nyurba,RU,2021-11-07 06:40:47,63.2842,118.3319,13.03,90,100,9.26,overcast clouds
124,Codrington,AU,2021-11-07 06:37:51,-38.2667,141.9667,55.04,60,1,10.69,clear sky
125,Salinas,US,2021-11-07 06:46:03,36.6777,-121.6555,58.1,83,1,10.36,clear sky
