City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
165,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
170,Biak,ID,82.76,light rain,-0.9131,122.8766,Penginapan Kim
172,Antalaha,MG,84.72,few clouds,-14.9003,50.2788,Hotel Vitasoa
175,Labuhan,ID,88.95,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
183,Port Blair,IN,84.52,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
194,Kahului,US,77.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
198,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
204,Auki,SB,81.05,clear sky,-8.7676,160.7034,Auki Motel
208,Essau,GM,77.16,overcast clouds,13.4839,-16.5347,Jawara kunda
209,Nanakuli,US,78.75,clear sky,21.3906,-158.1547,Camp Pālehua
211,Hithadhoo,MV,82.92,broken clouds,-0.6,73.0833,Scoop Guest House
212,Saint-Joseph,RE,81.21,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
216,Umm Lajj,SA,84.74,clear sky,25.0213,37.2685,Moon light Furnished Units
219,Bima,ID,88.77,overcast clouds,-8.4667,118.7167,Lambitu Hotel
223,Bengkulu,ID,84.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
224,Namatanai,PG,82.36,light rain,-3.6667,152.4333,Seagulls Inn Namatani
226,Luau,AO,78.66,few clouds,-10.7073,22.2247,Casa- Bernardo Cândido
233,Kang,BW,88.02,overcast clouds,-23.6752,22.7876,Kang Ultra Stop
239,Acapulco,MX,76.37,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
240,Mount Isa,AU,85.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
241,Sarangani,PH,85.12,broken clouds,5.4033,125.4636,Ballistic Islet
246,Kurunegala,LK,81.12,overcast clouds,7.4863,80.3623,Galhena Estate Buluwala
248,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
249,Ende,ID,84.65,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
251,Mokobeng,BW,89.42,scattered clouds,-22.9965,27.6678,Omphile B. Molefhe
260,Sabang,ID,81.19,overcast clouds,5.8933,95.3214,Hotel Citra
265,Tagusao,PH,85.14,scattered clouds,9.1924,117.8141,Toledo
272,Bilma,NE,78.84,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
276,Carutapera,BR,77.43,overcast clouds,-1.195,-46.02,Lidera
278,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
281,Wamba,NG,77.92,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
288,Bambous Virieux,MU,80.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
289,The Valley,AI,80.46,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
291,Inhambane,MZ,78.78,broken clouds,-23.865,35.3833,Oceano
296,Pontianak,ID,84.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
298,Bull Savanna,JM,75.29,overcast clouds,17.8868,-77.5902,Big Red's
303,Jizan,SA,88.74,clear sky,17.3333,42.6667,شهدان. ابوالحجر
305,Lorengau,PG,84.74,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
312,Yen Bai,VN,83.5,scattered clouds,21.7,104.8667,AK MOTEL
316,Nisia Floresta,BR,80.98,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
326,Yulara,AU,76.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
338,San-Pedro,CI,76.05,overcast clouds,4.7485,-6.6363,Hotel Maria
343,Atambua,ID,83.68,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
344,Menongue,AO,81.81,overcast clouds,-14.6585,17.691,Ritz Lauca
348,Padang,ID,84.25,light rain,-0.9492,100.3543,Mercure Padang
351,Saint-Paul,RE,82.74,few clouds,-21.0096,55.2707,Boucan Canot
352,Iranshahr,IR,80.94,clear sky,27.2025,60.6848,نیک سرشت
354,Hobyo,SO,82.67,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
